t1,t2,value
0.0997331001,1.0471975512,0.153
0.0997331001,1.0970641013,0.191
0.0997331001,1.1469306513,0.179
0.0997331001,1.1967972014,0.19
0.0997331001,1.2466637514,0.182
0.0997331001,1.2965303015,0.138
0.0997331001,1.3463968515,0.194
0.0997331001,1.3962634016,0.163
0.0997331001,1.4461299517,0.188
0.0997331001,1.4959965017,0.129
0.0997331001,1.5458630518,0.188
0.0997331001,1.5957296018,0.031
0.0997331001,1.6455961519,0.208
0.0997331001,1.6954627019,0.18
0.0997331001,1.745329252,0.212
0.0997331001,1.7951958021,0.056
0.0997331001,1.8450623521,0.387
0.0997331001,1.8949289022,0.154
0.0997331001,1.9447954522,0.087
0.0997331001,1.9946620023,0.132
0.0997331001,2.0445285523,0.131
0.0997331001,2.0943951024,0.129
0.0997331001,2.1442616525,0.078
0.0997331001,2.1941282025,0.116
0.0997331001,2.2439947526,0.088
0.0997331001,2.2938613026,0.073
0.0997331001,2.3437278527,0.067
0.0997331001,2.3935944027,0.044
0.0997331001,2.4434609528,0.052
0.0997331001,2.4933275028,0.077
0.0997331001,2.5431940529,0.177
0.0997331001,2.593060603,0.221
0.0997331001,2.642927153,0.16
0.0997331001,2.6927937031,0.28
0.0997331001,2.7426602531,0.119
0.0997331001,2.7925268032,0.162
0.0997331001,2.8423933532,0.409
0.0997331001,2.8922599033,0.47
0.0997331001,2.9421264534,0.35
0.0997331001,2.9919930034,0.49
0.0997331001,3.0418595535,0.39
0.0997331001,3.0917261035,0.344
0.0997331001,3.1415926536,0.315
0.0997331001,3.1914592036,0.535
0.0997331001,3.2413257537,0.327
0.0997331001,3.2911923038,0.354
0.0997331001,3.3410588538,0.23
0.0997331001,3.3909254039,0.259
0.0997331001,3.4407919539,0.349
0.0997331001,3.490658504,0.34
0.0997331001,3.540525054,0.261
0.0997331001,3.5903916041,0.095
0.0997331001,3.6402581542,0.182
0.0997331001,3.6901247042,0.124
0.0997331001,3.7399912543,0.106
0.0997331001,3.7898578043,0.089
0.0997331001,3.8397243544,0.12
0.0997331001,3.8895909044,0.14
0.0997331001,3.9394574545,0.121
0.0997331001,3.9893240046,0.088
0.0997331001,4.0391905546,0.131
0.0997331001,4.0890571047,0.144
0.0997331001,4.1389236547,0.162
0.0997331001,4.1887902048,0.158
0.0997331001,4.2386567548,0.12
0.0997331001,4.2885233049,0.097
0.0997331001,4.338389855,0.085
0.0997331001,4.388256405,0.095
0.0997331001,4.4381229551,0.118
0.0997331001,4.4879895051,0.122
0.0997331001,4.5378560552,0.13
0.0997331001,4.5877226052,0.126
0.0997331001,4.6375891553,0.188
0.0997331001,4.6874557054,0.253
0.0997331001,4.7373222554,0.18
0.0997331001,4.7871888055,0.184
0.0997331001,4.8370553555,0.223
0.0997331001,4.8869219056,0.193
0.0997331001,4.9367884556,0.211
0.0997331001,4.9866550057,0.174
0.0997331001,5.0365215558,0.189
0.0997331001,5.0863881058,0.212
0.0997331001,5.1362546559,0.199
0.0997331001,5.1861212059,0.202
0.0997331001,5.235987756,0.178
0.0997331001,5.285854306,0.18
0.0997331001,5.3357208561,0.22
0.0997331001,5.3855874062,0.201
0.0997331001,5.4354539562,0.178
0.0997331001,5.4853205063,0.159
0.0997331001,5.5351870563,0.193
0.0997331001,5.5850536064,0.167
0.0997331001,5.6349201564,0.182
0.0997331001,5.6847867065,0.132
0.0997331001,5.7346532566,0.184
0.0997331001,5.7845198066,0.123
0.0997331001,5.8343863567,0.172
0.0997331001,5.8842529067,0.148
0.0997331001,5.9341194568,0.162
0.0997331001,5.9839860068,0.151
0.0997331001,6.0338525569,0.117
0.0997331001,6.083719107,0.14
0.0997331001,6.133585657,0.116
0.0997331001,6.1834522071,0.06
0.0997331001,6.2333187571,0.094
0.1495996502,0.0,0.09
0.1495996502,0.0498665501,0.088
0.1495996502,0.0997331001,0.059
0.1495996502,0.1495996502,0.015
0.1495996502,0.1994662002,0.03
0.1495996502,0.2493327503,0.022
0.1495996502,0.2991993003,0.041
0.1495996502,0.3490658504,0.083
0.1495996502,0.3989324005,0.103
0.1495996502,0.4487989505,0.097
0.1495996502,0.4986655006,0.088
0.1495996502,0.5485320506,0.133
0.1495996502,0.5983986007,0.141
0.1495996502,0.6482651507,0.094
0.1495996502,0.6981317008,0.163
0.1495996502,0.7479982509,0.158
0.1495996502,0.7978648009,0.16
0.1495996502,0.847731351,0.163
0.1495996502,0.897597901,0.127
0.1495996502,0.9474644511,0.184
0.1495996502,0.9973310011,0.153
0.1495996502,1.0471975512,0.175
0.1495996502,1.0970641013,0.168
0.1495996502,1.1469306513,0.148
0.1495996502,1.1967972014,0.196
0.1495996502,1.2466637514,0.142
0.1495996502,1.2965303015,0.175
0.1495996502,1.3463968515,0.194
0.1495996502,1.3962634016,0.149
0.1495996502,1.4461299517,0.164
0.1495996502,1.4959965017,0.233
0.1495996502,1.5458630518,0.092
0.1495996502,1.5957296018,0.159
0.1495996502,1.6455961519,0.107
0.1495996502,1.6954627019,0.121
0.1495996502,1.745329252,0.273
0.1495996502,1.7951958021,0.299
0.1495996502,1.8450623521,0.297
0.1495996502,1.8949289022,0.323
0.1495996502,1.9447954522,0.166
0.1495996502,1.9946620023,0.147
0.1495996502,2.0445285523,0.169
0.1495996502,2.0943951024,0.155
0.1495996502,2.1442616525,0.152
0.1495996502,2.1941282025,0.128
0.1495996502,2.2439947526,0.106
0.1495996502,2.2938613026,0.094
0.1495996502,2.3437278527,0.096
0.1495996502,2.3935944027,0.097
0.1495996502,2.4434609528,0.083
0.1495996502,2.4933275028,0.113
0.1495996502,2.5431940529,0.192
0.1495996502,2.593060603,0.219
0.1495996502,2.642927153,0.169
0.1495996502,2.6927937031,0.203
0.1495996502,2.7426602531,0.183
0.1495996502,2.7925268032,0.129
0.1495996502,2.8423933532,0.445
0.1495996502,2.8922599033,0.34
0.1495996502,2.9421264534,0.278
0.1495996502,2.9919930034,0.334
0.1495996502,3.0418595535,0.309
0.1495996502,3.0917261035,0.426
0.1495996502,3.1415926536,0.392
0.1495996502,3.1914592036,0.39
0.1495996502,3.2413257537,0.513
0.1495996502,3.2911923038,0.171
0.1495996502,3.3410588538,0.478
0.1495996502,3.3909254039,0.357
0.1495996502,3.4407919539,0.254
0.1495996502,3.490658504,0.319
0.1495996502,3.540525054,0.336
0.1495996502,3.5903916041,0.313
0.1495996502,3.6402581542,0.304
0.1495996502,3.6901247042,0.194
0.1495996502,3.7399912543,0.2
0.1495996502,3.7898578043,0.192
0.1495996502,3.8397243544,0.13
0.1495996502,3.8895909044,0.12
0.1495996502,3.9394574545,0.089
0.1495996502,3.9893240046,0.188
0.1495996502,4.0391905546,0.221
0.1495996502,4.0890571047,0.121
0.1495996502,4.1389236547,0.157
0.1495996502,4.1887902048,0.175
0.1495996502,4.2386567548,0.169
0.1495996502,4.2885233049,0.145
0.1495996502,4.338389855,0.139
0.1495996502,4.388256405,0.139
0.1495996502,4.4381229551,0.141
0.1495996502,4.4879895051,0.151
0.1495996502,4.5378560552,0.107
0.1495996502,4.5877226052,0.138
0.1495996502,4.6375891553,0.045
0.1495996502,4.6874557054,0.143
0.1495996502,4.7373222554,0.097
0.1495996502,4.7871888055,0.251
0.1495996502,4.8370553555,0.173
0.1495996502,4.8869219056,0.204
0.1495996502,4.9367884556,0.207
0.1495996502,4.9866550057,0.206
0.1495996502,5.0365215558,0.206
0.1495996502,5.0863881058,0.179
0.1495996502,5.1362546559,0.199
0.1495996502,5.1861212059,0.201
0.1495996502,5.235987756,0.208
0.1495996502,5.285854306,0.194
0.1495996502,5.3357208561,0.188
0.1495996502,5.3855874062,0.195
0.1495996502,5.4354539562,0.211
0.1495996502,5.4853205063,0.198
0.1495996502,5.5351870563,0.188
0.1495996502,5.5850536064,0.197
0.1495996502,5.6349201564,0.193
0.1495996502,5.6847867065,0.188
0.1495996502,5.7346532566,0.183
0.1495996502,5.7845198066,0.18
0.1495996502,5.8343863567,0.179
0.1495996502,5.8842529067,0.17
0.1495996502,5.9341194568,0.168
0.1495996502,5.9839860068,0.139
0.1495996502,6.0338525569,0.159
0.1495996502,6.083719107,0.109
0.1495996502,6.133585657,0.14
0.1495996502,6.1834522071,0.13
0.1495996502,6.2333187571,0.063
0.1994662002,0.0,0.105
