t1,t2,value
1.5707963268,2.5481807079,1.05
1.5707963268,2.583087293,1.316
1.5707963268,2.617993878,1.211
1.5707963268,2.652900463,1.049
1.5707963268,2.6878070481,0.859
1.5707963268,2.7227136331,1.167
1.5707963268,2.7576202182,1.016
1.5707963268,2.7925268032,1.129
1.5707963268,2.8274333882,1.092
1.5707963268,2.8623399733,0.894
1.5707963268,2.8972465583,1.345
1.5707963268,2.9321531434,1.15
1.5707963268,2.9670597284,1.122
1.5707963268,3.0019663134,1.036
1.5707963268,3.0368728985,1.064
1.5707963268,3.0717794835,1.162
1.5707963268,3.1066860685,1.073
1.5707963268,3.1415926536,1.031
1.5707963268,3.1764992386,1.29
1.5707963268,3.2114058237,1.07
1.5707963268,3.2463124087,1.37
1.5707963268,3.2812189937,1.294
1.5707963268,3.3161255788,1.27
1.5707963268,3.3510321638,0.717
1.5707963268,3.3859387489,1.301
1.5707963268,3.4208453339,1.107
1.5707963268,3.4557519189,1.17
1.5707963268,3.490658504,1.301
1.5707963268,3.525565089,1.199
1.5707963268,3.5604716741,1.289
1.5707963268,3.5953782591,1.139
1.5707963268,3.6302848441,0.994
1.5707963268,3.6651914292,1.196
1.5707963268,3.7000980142,1.297
1.5707963268,3.7350045993,1.225
1.5707963268,3.7699111843,1.406
1.5707963268,3.8048177693,1.346
1.5707963268,3.8397243544,1.364
1.5707963268,3.8746309394,1.351
1.5707963268,3.9095375245,1.122
1.5707963268,3.9444441095,1.16
1.5707963268,3.9793506945,1.076
1.5707963268,4.0142572796,1.072
1.5707963268,4.0491638646,1.211
1.5707963268,4.0840704497,1.274
1.5707963268,4.1189770347,1.139
1.5707963268,4.1538836197,1.183
1.5707963268,4.1887902048,1.331
1.5707963268,4.2236967898,1.213
1.5707963268,4.2586033749,1.128
1.5707963268,4.2935099599,1.394
1.5707963268,4.3284165449,0.989
1.5707963268,4.36332313,1.229
1.5707963268,4.398229715,1.147
1.5707963268,4.4331363001,1.138
1.5707963268,4.4680428851,1.248
1.5707963268,4.5029494701,1.22
1.5707963268,4.5378560552,1.184
1.5707963268,4.5727626402,0.895
1.5707963268,4.6076692253,0.974
1.5707963268,4.6425758103,1.384
1.5707963268,4.6774823953,0.991
1.5707963268,4.7123889804,0.963
1.5707963268,4.7472955654,0.931
1.5707963268,4.7822021505,0.839
1.5707963268,4.8171087355,0.392
1.5707963268,4.8520153205,0.983
1.5707963268,4.8869219056,0.948
1.5707963268,4.9218284906,0.856
1.5707963268,4.9567350757,0.93
1.5707963268,4.9916416607,0.932
1.5707963268,5.0265482457,1.274
1.5707963268,5.0614548308,0.956
1.5707963268,5.0963614158,0.782
1.5707963268,5.1312680009,0.592
1.5707963268,5.1661745859,0.44
1.5707963268,5.2010811709,0.633
1.5707963268,5.235987756,0.612
1.5707963268,5.270894341,0.742
1.5707963268,5.3058009261,0.656
1.5707963268,5.3407075111,0.566
1.5707963268,5.3756140961,0.795
1.5707963268,5.4105206812,0.403
1.5707963268,5.4454272662,0.756
1.5707963268,5.4803338513,0.421
1.5707963268,5.5152404363,0.183
1.5707963268,5.5501470213,0.497
1.5707963268,5.5850536064,0.767
1.5707963268,5.6199601914,0.475
1.5707963268,5.6548667765,0.509
1.5707963268,5.6897733615,0.566
1.5707963268,5.7246799465,0.346
1.5707963268,5.7595865316,0.624
1.5707963268,5.7944931166,0.326
1.5707963268,5.8293997017,0.533
1.5707963268,5.8643062867,0.37
1.5707963268,5.8992128717,0.571
1.5707963268,5.9341194568,0.471
1.5707963268,5.9690260418,0.309
1.5707963268,6.0039326269,0.073
1.5707963268,6.0388392119,0.183
1.5707963268,6.0737457969,0.185
1.5707963268,6.108652382,0.265
1.5707963268,6.143558967,0.234
1.5707963268,6.1784655521,0.223
1.5707963268,6.2133721371,0.123
1.5707963268,6.2482787221,0.35
1.6057029118,0.0,0.299
1.6057029118,0.034906585,0.355
1.6057029118,0.0698131701,0.352
1.6057029118,0.1047197551,0.246
1.6057029118,0.1396263402,0.438
1.6057029118,0.1745329252,0.522
1.6057029118,0.2094395102,0.235
1.6057029118,0.2443460953,0.38
1.6057029118,0.2792526803,0.588
1.6057029118,0.3141592654,0.613
1.6057029118,0.3490658504,0.671
1.6057029118,0.3839724354,0.505
1.6057029118,0.4188790205,0.663
1.6057029118,0.4537856055,0.322
1.6057029118,0.4886921906,0.443
1.6057029118,0.5235987756,0.389
1.6057029118,0.5585053606,0.545
1.6057029118,0.5934119457,0.564
1.6057029118,0.6283185307,0.443
1.6057029118,0.6632251158,0.471
1.6057029118,0.6981317008,0.419
1.6057029118,0.7330382858,0.23
1.6057029118,0.7679448709,0.464
1.6057029118,0.8028514559,0.864
1.6057029118,0.837758041,0.618
1.6057029118,0.872664626,0.504
1.6057029118,0.907571211,0.566
1.6057029118,0.9424777961,0.842
1.6057029118,0.9773843811,0.89
1.6057029118,1.0122909662,0.818
1.6057029118,1.0471975512,0.6
1.6057029118,1.0821041362,0.445
1.6057029118,1.1170107213,0.133
1.6057029118,1.1519173063,0.139
1.6057029118,1.1868238914,0.139
1.6057029118,1.2217304764,0.14
1.6057029118,1.2566370614,0.142
1.6057029118,1.2915436465,0.141
1.6057029118,1.3264502315,0.136
1.6057029118,1.3613568166,0.137
1.6057029118,1.3962634016,0.15
1.6057029118,1.4311699866,0.603
1.6057029118,1.4660765717,0.559
1.6057029118,1.5009831567,0.612
1.6057029118,1.5358897418,0.991
1.6057029118,1.5707963268,0.904
1.6057029118,1.6057029118,0.584
1.6057029118,1.6406094969,0.723
1.6057029118,1.6755160819,0.726
1.6057029118,1.710422667,0.833
1.6057029118,1.745329252,0.996
1.6057029118,1.780235837,1.006
1.6057029118,1.8151424221,1.137
1.6057029118,1.8500490071,0.981
1.6057029118,1.8849555922,0.693
1.6057029118,1.9198621772,0.895
1.6057029118,1.9547687622,0.911
1.6057029118,1.9896753473,1.038
1.6057029118,2.0245819323,0.859
1.6057029118,2.0594885174,0.743
1.6057029118,2.0943951024,0.762
1.6057029118,2.1293016874,0.922
1.6057029118,2.1642082725,1.24
1.6057029118,2.1991148575,1.292
1.6057029118,2.2340214426,1.271
1.6057029118,2.2689280276,1.199
1.6057029118,2.3038346126,0.813
1.6057029118,2.3387411977,1.156
1.6057029118,2.3736477827,1.31
1.6057029118,2.4085543678,1.272
1.6057029118,2.4434609528,1.037
1.6057029118,2.4783675378,1.092
1.6057029118,2.5132741229,1.258
1.6057029118,2.5481807079,1.485
1.6057029118,2.583087293,1.169
1.6057029118,2.617993878,1.408
1.6057029118,2.652900463,1.161
1.6057029118,2.6878070481,1.323
1.6057029118,2.7227136331,1.217
1.6057029118,2.7576202182,1.19
1.6057029118,2.7925268032,1.232
1.6057029118,2.8274333882,1.32
1.6057029118,2.8623399733,1.124
1.6057029118,2.8972465583,1.422
1.6057029118,2.9321531434,1.174
1.6057029118,2.9670597284,1.009
1.6057029118,3.0019663134,1.221
1.6057029118,3.0368728985,0.954
1.6057029118,3.0717794835,1.344
1.6057029118,3.1066860685,1.314
1.6057029118,3.1415926536,1.286
1.6057029118,3.1764992386,1.16
1.6057029118,3.2114058237,1.104
1.6057029118,3.2463124087,1.183
1.6057029118,3.2812189937,1.199
1.6057029118,3.3161255788,1.116
1.6057029118,3.3510321638,1.507
1.6057029118,3.3859387489,1.253
1.6057029118,3.4208453339,1.205
1.6057029118,3.4557519189,1.423
1.6057029118,3.490658504,1.205
1.6057029118,3.525565089,1.379
1.6057029118,3.5604716741,1.073
1.6057029118,3.5953782591,1.363
1.6057029118,3.6302848441,1.315
1.6057029118,3.6651914292,1.399
1.6057029118,3.7000980142,1.045
1.6057029118,3.7350045993,1.09
1.6057029118,3.7699111843,1.101
1.6057029118,3.8048177693,1.19
1.6057029118,3.8397243544,1.122
1.6057029118,3.8746309394,1.429
1.6057029118,3.9095375245,1.416
1.6057029118,3.9444441095,1.347
1.6057029118,3.9793506945,1.234
1.6057029118,4.0142572796,1.184
1.6057029118,4.0491638646,1.213
1.6057029118,4.0840704497,1.2
1.6057029118,4.1189770347,1.308
1.6057029118,4.1538836197,1.197
1.6057029118,4.1887902048,1.228
1.6057029118,4.2236967898,1.093
1.6057029118,4.2586033749,1.258
1.6057029118,4.2935099599,1.198
1.6057029118,4.3284165449,1.021
1.6057029118,4.36332313,1.227
1.6057029118,4.398229715,0.816
1.6057029118,4.4331363001,1.274
1.6057029118,4.4680428851,1.218
1.6057029118,4.5029494701,1.352
